Time, Fuel
5316, 400
5323, 399.5
5330, 399
5337, 398.5
5344, 398
5351, 397.5
5358, 397
5365, 396.5
5372, 396
5379, 395.5
5386, 395
5393, 394.5
5400, 394
5407, 393.5
5414, 393
5420, 392.5
5428, 392
5434, 391.5
5441, 391
5448, 390.5
5455, 390
5462, 389.5
5469, 389
5476, 388.5
5483, 388
5490, 387.5
5497, 387
5504, 386.5
5511, 386
5518, 385.5
5525, 385
5532, 384.5
5539, 384
7561, 383
7568, 382
7575, 381
7582, 380
7589, 379
7595, 378
7602, 377
7609, 376
7616, 375
7623, 374
7630, 373
7637, 372
7644, 371
7651, 370
7658, 369
7665, 368
7672, 367
7679, 366
7686, 365
7693, 364
7700, 363
7707, 362
7713, 361
7720, 360
7727, 359
7734, 358
7741, 357
7748, 356
7755, 355
7763, 354
7770, 353
7777, 352
7784, 351
7791, 350
7798, 349
7804, 348
7811, 347
7818, 346
7825, 345
7832, 344
7839, 343
7846, 342
7852, 341
7860, 340
7866, 339
7873, 338
7880, 337
7887, 336
7894, 335
7901, 334
7908, 333
7915, 332
7922, 331
7929, 330
7936, 329
7943, 328
7950, 327
7957, 326
7964, 325
7971, 324
7978, 323
7985, 322
7992, 321
7998, 320
8005, 319
8012, 318
8019, 317
8027, 316
8033, 315
8040, 314
8047, 313
8054, 312
8061, 311
8068, 310
8075, 309
8082, 308
8089, 307
8096, 306
8103, 305
8110, 304
8117, 303
8124, 302
8130, 301
8137, 300
8144, 299
8151, 298
8158, 297
8165, 296
8172, 295
8179, 294
8186, 293
8193, 292
8200, 291
8207, 290
8214, 289
8221, 288
8228, 287
8235, 286
8242, 285
8249, 284
8256, 283
8262, 282
8269, 281
8276, 280
8283, 279
8290, 278
8297, 277
8304, 276
8311, 275
8318, 274
8325, 273
8332, 272
8339, 271
8346, 270
8353, 269
8360, 268
8367, 267
8374, 266
8381, 265
8387, 264
8394, 263
8401, 262
8408, 261
8415, 260
8422, 259
8429, 258
8436, 257
8443, 256
8450, 255
8457, 254
8464, 253
8471, 252
8478, 251
8485, 250
8492, 249
8499, 248
8506, 247
8513, 246
8519, 245
8527, 244
8533, 243
8540, 242
8547, 241
8554, 240
8561, 239
8568, 238
8575, 237
8582, 236
8589, 235
8596, 234
8603, 233
8610, 232
8617, 231
8624, 230
8631, 229
8638, 228
8645, 227
8651, 226
8659, 225
8665, 224
